City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,8.23,97,96,1.79,NZ,1726432531
1,askern,53.6164,-1.1524,13.82,88,63,3.09,GB,1726432532
2,la passe,45.5549,-0.8967,14.9,51,68,4.5,FR,1726432533
3,puerto ayora,-0.7393,-90.3518,22.53,93,76,3.58,EC,1726432534
4,ilulissat,69.2167,-51.1,-0.29,75,99,1.61,GL,1726432535
5,adamstown,-25.066,-130.1015,20.29,79,100,7.25,PN,1726432536
6,robertsport,6.7533,-11.3686,24.0,95,100,4.91,LR,1726432538
7,phongsali,21.6833,102.1058,20.27,85,100,0.2,LA,1726432539
8,belmonte,-15.8631,-38.8828,23.62,81,1,3.64,BR,1726432540
9,kapa'a,22.0752,-159.319,28.18,72,100,6.69,US,1726432541
10,blackmans bay,-43.0167,147.3167,7.63,90,55,0.89,AU,1726432542
11,saacow,1.6279,42.4407,24.56,76,61,7.56,SO,1726432543
12,san antonio de pale,-1.4014,5.6325,24.57,85,70,4.72,GQ,1726432544
13,tiksi,71.6872,128.8694,0.0,86,100,3.95,RU,1726432545
14,olonkinbyen,70.9221,-8.7187,2.5,95,100,11.41,SJ,1726432546
15,tuy hoa,13.0833,109.3,26.33,77,60,6.03,VN,1726432547
16,negapatam,10.7667,79.8333,29.14,67,97,4.71,IN,1726432549
17,katsuura,35.1333,140.3,26.69,89,96,4.15,JP,1726432550
18,georgetown,5.4112,100.3354,25.96,93,40,2.57,MY,1726432551
19,albany,42.6001,-73.9662,28.84,56,1,1.49,US,1726432552
20,fort bragg,35.139,-79.006,26.91,76,75,7.2,US,1726432553
21,bethel,41.3712,-73.414,26.3,59,20,3.09,US,1726432554
22,invercargill,-46.4,168.35,3.34,94,70,2.24,NZ,1726432555
23,sandakan,5.8402,118.1179,26.82,88,20,1.54,MY,1726432556
24,trincomalee,8.5711,81.2335,28.06,76,35,9.55,LK,1726432558
25,lihue,21.9789,-159.3672,27.77,71,100,6.69,US,1726432560
26,kununurra,-15.7667,128.7333,16.99,67,75,0.0,AU,1726432329
27,port-aux-francais,-49.35,70.2167,2.33,71,79,13.02,TF,1726432562
28,iqaluit,63.7506,-68.5145,3.85,86,100,6.17,CA,1726432563
29,porto novo,6.4965,2.6036,25.9,91,33,3.05,BJ,1726432564
30,talnakh,69.4865,88.3972,4.25,70,100,3.25,RU,1726432565
31,mantua,45.1667,10.7833,18.36,77,25,3.13,IT,1726432566
32,grytviken,-54.2811,-36.5092,-2.68,72,73,4.18,GS,1726432567
33,hawaiian paradise park,19.5933,-154.9731,28.26,75,20,1.54,US,1726432568
34,tura,25.5198,90.2201,23.4,93,100,2.0,IN,1726432569
35,utrik,11.2278,169.8474,28.62,74,66,4.92,MH,1726432570
36,yellowknife,62.456,-114.3525,15.79,70,40,4.63,CA,1726432572
37,nova sintra,14.8667,-24.7167,26.4,76,91,3.41,CV,1726432573
38,cabedelo,-6.9811,-34.8339,26.37,76,45,6.46,BR,1726432574
39,san patricio,28.017,-97.5169,30.97,82,100,2.67,US,1726432575
40,ribeira grande,38.5167,-28.7,24.22,64,40,4.12,PT,1726432576
41,yreka,41.7354,-122.6345,19.1,48,100,3.09,US,1726432577
42,kardla,58.9978,22.7492,13.79,89,62,3.71,EE,1726432578
43,vernon,50.2581,-119.2691,20.97,43,0,1.03,CA,1726432579
44,st. john's,47.5649,-52.7093,12.86,79,75,10.28,CA,1726432580
45,longyearbyen,78.2186,15.6401,4.91,93,75,2.57,SJ,1726432581
46,wailua homesteads,22.0669,-159.378,27.44,75,100,6.69,US,1726432583
47,uturoa,-16.7333,-151.4333,25.65,80,7,3.28,PF,1726432584
48,eirunepe,-6.6603,-69.8736,37.12,26,80,0.66,BR,1726432585
49,coruripe,-10.1256,-36.1756,22.94,78,7,3.68,BR,1726432586
50,vadso,70.0744,29.7487,6.09,93,0,3.6,NO,1726432587
51,taoudenni,22.6783,-3.9836,38.27,16,25,1.39,ML,1726432588
52,yung shue wan,22.2333,114.1167,27.96,86,24,2.68,HK,1726432589
53,edinburgh of the seven seas,-37.0676,-12.3116,14.7,92,100,11.63,SH,1726432590
54,port alfred,-33.5906,26.891,12.88,94,1,0.89,ZA,1726432591
55,hamilton,39.1834,-84.5333,33.27,29,0,4.63,US,1726432592
56,ushuaia,-54.8,-68.3,3.81,70,75,9.26,AR,1726432516
57,constantia,44.1833,28.65,14.38,91,45,4.9,RO,1726432595
58,port mathurin,-19.6833,63.4167,21.01,68,73,9.73,MU,1726432596
59,east london,-33.0153,27.9116,17.84,81,95,5.34,ZA,1726432597
60,port said,31.2565,32.2841,27.99,74,0,5.14,EG,1726432598
61,prince rupert,54.3161,-130.3201,13.05,88,100,3.6,CA,1726432373
62,kailua-kona,19.6406,-155.9956,29.6,64,40,4.63,US,1726432600
63,shenjiamen,29.9576,122.298,25.68,94,100,14.68,CN,1726432602
64,jamestown,42.097,-79.2353,27.79,35,20,3.58,US,1726432603
65,atafu village,-8.5421,-172.5159,27.98,77,14,4.26,TK,1726432605
66,mar del plata,-38.0023,-57.5575,18.07,39,0,9.77,AR,1726432607
67,puerto leguizamo,-0.1934,-74.7819,36.74,31,19,0.18,CO,1726432608
68,kamen'-na-obi,53.7884,81.3423,1.87,79,1,3.21,RU,1726432609
69,oamaru,-45.0784,170.9801,6.7,74,37,5.34,NZ,1726432591
70,cambria,35.5641,-121.0808,25.69,83,34,2.24,US,1726432611
71,iskateley,67.6803,53.1512,14.94,74,95,3.54,RU,1726432612
72,newman,37.3138,-121.0208,27.8,35,72,6.26,US,1726432613
73,serchhip,23.3,92.8333,21.59,98,99,0.84,IN,1726432615
74,flying fish cove,-10.4217,105.6791,23.82,94,75,3.6,CX,1726432616
75,mangrol,21.1167,70.1167,26.48,78,9,2.96,IN,1726432617
76,saipan,15.1355,145.701,28.39,83,75,10.29,MP,1726432618
77,melendugno,40.2747,18.3368,18.05,94,0,1.03,IT,1726432619
78,sao joao da barra,-21.6403,-41.0511,27.05,85,1,4.42,BR,1726432620
79,thompson,55.7435,-97.8558,22.09,40,20,7.72,CA,1726432621
80,niafunke,15.9322,-3.9906,28.86,62,99,1.24,ML,1726432622
81,susuman,62.7833,148.1667,-0.28,86,100,1.52,RU,1726432623
82,aasiaat,68.7098,-52.8699,0.23,81,100,2.92,GL,1726432624
83,guarapari,-20.6667,-40.4975,23.08,84,0,5.43,BR,1726432626
84,itoman,26.1247,127.6694,30.22,87,75,4.63,JP,1726432627
85,west island,-12.1568,96.8225,25.99,78,75,4.63,CC,1726432628
86,khust,48.1793,23.2991,12.27,92,100,1.61,UA,1726432629
87,papatowai,-46.5619,169.4708,5.31,86,91,2.34,NZ,1726432630
88,hithadhoo,-0.6,73.0833,28.2,76,44,4.61,MV,1726432631
89,rio grande,-32.035,-52.0986,13.72,78,10,3.38,BR,1726432632
90,geneina,13.45,22.45,23.0,75,100,1.31,SD,1726432633
91,chonchi,-42.6128,-73.8092,11.73,66,100,1.94,CL,1726432634
92,bodo,67.28,14.405,13.76,56,0,4.63,NO,1726432635
93,inarajan village,13.2736,144.7484,26.54,94,99,5.05,GU,1726432637
94,mayna,54.1135,47.6231,14.36,72,3,2.58,RU,1726432638
95,palmares do sul,-30.2578,-50.5097,16.17,78,100,4.75,BR,1726432639
96,bredasdorp,-34.5322,20.0403,12.82,72,95,4.27,ZA,1726432640
97,wenchang,30.904,118.4887,22.87,95,90,2.33,CN,1726432641
98,castillos,-34.1667,-53.8333,11.4,73,0,3.12,UY,1726432642
99,anadyr,64.75,177.4833,4.28,86,0,3.58,RU,1726432643
100,pointe-noire,-4.7761,11.8635,24.15,88,7,4.15,CG,1726432644
101,arraial do cabo,-22.9661,-42.0278,23.92,83,40,4.63,BR,1726432645
102,luderitz,-26.6481,15.1594,12.7,78,0,10.08,NA,1726432646
103,puerto lempira,15.2667,-83.7667,34.08,59,20,3.09,HN,1726432648
104,puerto natales,-51.7236,-72.4875,7.25,81,75,7.2,CL,1726432649
105,weno,7.4515,151.8468,23.97,100,100,0.0,FM,1726432650
106,whitehorse,60.7161,-135.0538,9.43,86,75,5.14,CA,1726432651
107,floro,61.5996,5.0328,12.98,88,100,2.06,NO,1726432652
108,volodymyr-volynskyi,50.8525,24.3236,15.25,91,100,3.75,UA,1726432653
109,boende,-0.2167,20.8667,23.73,91,99,2.57,CD,1726432654
110,egilsstadir,65.2653,-14.3948,2.95,70,40,3.6,IS,1726432655
111,tolanaro,-25.0319,46.9987,22.04,83,0,9.26,MG,1726432656
112,stanley,54.868,-1.6985,11.21,84,0,3.09,GB,1726432657
113,kyzylorda,44.8528,65.5092,15.01,38,0,5.0,KZ,1726432659
114,siguiri,11.6667,-9.5,23.1,96,98,1.84,GN,1726432660
115,tosontsengel,48.7567,98.2839,0.51,79,0,0.81,MN,1726432661
116,tofol,5.3248,163.0078,27.63,73,100,2.5,FM,1726432662
117,saint-pierre,-21.3393,55.4781,19.82,60,0,3.6,RE,1726432663
118,goris,41.9842,44.1158,14.55,49,4,4.04,GE,1726432664
119,susanville,40.4163,-120.653,19.85,20,100,7.06,US,1726432665
120,kingscliff,-28.2667,153.5667,14.41,62,11,6.17,AU,1726432666
121,laojunmiao,39.8333,97.7333,12.07,74,9,3.33,CN,1726432667
122,bardai,11.65,7.2333,23.14,83,39,2.27,NG,1726432668
123,mexia,31.6799,-96.4822,36.03,48,40,2.24,US,1726432670
124,fortuna,40.5982,-124.1573,18.85,74,100,6.69,US,1726432671
125,carnarvon,-24.8667,113.6333,19.9,36,0,10.26,AU,1726432672
126,mrakovo,52.7161,56.6244,11.02,88,10,2.59,RU,1726432673
127,dali,25.7,100.1833,16.83,91,100,1.14,CN,1726432860
128,arteche,12.2645,125.4048,26.7,82,100,5.23,PH,1726432861
129,klaksvik,62.2266,-6.589,8.05,80,100,10.31,FO,1726432862
130,ust-nera,64.5667,143.2,1.4,82,100,2.23,RU,1726432863
131,tamiahua,21.2667,-97.45,30.73,72,56,4.55,MX,1726432864
132,alotau,-10.3069,150.4462,24.16,96,100,1.47,PG,1726432866
133,singaraja,-8.112,115.0882,25.09,77,96,1.33,ID,1726432867
134,tomatlan,19.9333,-105.25,32.03,66,70,4.28,MX,1726432868
135,tres arroyos,-38.3739,-60.2798,12.63,45,35,3.93,AR,1726432869
136,kayangel,8.0823,134.7173,28.3,82,100,11.23,PW,1726432870
137,jesus de otoro,14.4833,-87.9833,30.81,47,100,1.15,HN,1726432871
138,puerto aysen,-45.4,-72.7,4.37,100,100,2.87,CL,1726432872
139,straldzha,42.6,26.6833,15.25,81,82,1.99,BG,1726432873
140,adrar,20.5022,-10.0711,34.91,34,85,2.39,MR,1726432874
141,crucecita,-28.95,-58.9833,21.62,40,0,4.51,AR,1726432875
142,afaahiti,-17.75,-149.2833,23.71,83,13,2.19,PF,1726432891
143,petrozavodsk,61.7849,34.3469,12.7,94,32,2.0,RU,1726432892
144,isafjordur,66.0755,-23.124,2.41,70,8,1.28,IS,1726432894
145,nar'yan-mar,67.6713,53.087,14.98,74,95,3.55,RU,1726432895
146,cidreira,-30.1811,-50.2056,16.13,82,100,4.65,BR,1726432896
147,kencong,-8.2833,113.3667,21.86,93,100,0.95,ID,1726432897
148,biswan,27.5,81.0,26.13,80,98,2.4,IN,1726432898
149,kodiak,57.79,-152.4072,14.73,47,20,4.63,US,1726432899
